,ID,Customer_Join_Date,Year_Birth,Customer_Join_Age,Age_Group,Education,Income_Class,Marital_Status,Income,Kidhome,Teenhome,Childrenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,MntTotalPurchase,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumOfPurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp6,Accepted_Rate,NumDealsPurchases,Complain
0,5524,2012-09-04,1957,55,Adult,Graduation,Middle,Single,58138,0,0,0,58,635,88,546,172,88,88,1617,8,10,4,22,7,0,0,0,0,0,1,1,3,0
1,2174,2014-03-08,1954,60,Adult,Graduation,Middle,Single,46344,1,1,2,38,11,1,6,2,1,6,27,1,1,2,4,5,0,0,0,0,0,0,0,2,0
2,4141,2013-08-21,1965,48,Adult,Graduation,Upper,Together,71613,0,0,0,26,426,49,127,111,21,42,776,8,2,10,20,4,0,0,0,0,0,0,0,1,0
3,6182,2014-02-10,1984,30,Adult,Graduation,Lower,Together,26646,1,0,1,26,11,4,20,10,3,5,53,2,0,4,6,6,0,0,0,0,0,0,0,2,0
4,5324,2014-01-19,1981,33,Adult,PhD,Middle,Married,58293,1,0,1,94,173,43,118,46,27,15,422,5,3,6,14,5,0,0,0,0,0,0,0,5,0
5,7446,2013-09-09,1967,46,Adult,Master,Middle,Together,62513,0,1,1,16,520,42,98,0,42,14,716,6,4,10,20,6,0,0,0,0,0,0,0,2,0
6,965,2012-11-13,1971,41,Adult,Graduation,Middle,Divorced,55635,0,1,1,34,235,65,164,50,49,27,590,7,3,7,17,6,0,0,0,0,0,0,0,4,0
7,6177,2013-05-08,1985,28,Adult,PhD,Lower,Married,33454,1,0,1,32,76,10,56,3,1,23,169,4,0,4,8,8,0,0,0,0,0,0,0,2,0
8,4855,2013-06-06,1974,39,Adult,PhD,Lower,Together,30351,1,0,1,19,14,0,24,3,3,2,46,3,0,2,5,9,0,0,0,0,0,1,1,1,0
9,5899,2014-03-13,1950,64,Old,PhD,Lower,Together,5648,1,1,2,68,28,0,6,1,1,13,49,1,0,0,1,20,0,0,1,0,0,0,1,1,0
10,1994,2013-11-15,1983,30,Adult,Graduation,Middle,Married,51373,1,0,1,11,5,5,6,0,2,1,19,1,0,2,3,7,0,0,0,0,0,0,0,1,0
11,387,2012-11-13,1976,36,Adult,Basic,Lower,Married,7500,0,0,0,59,6,16,11,11,1,16,61,2,0,3,5,8,0,0,0,0,0,0,0,1,0
12,2125,2013-11-15,1959,54,Adult,Graduation,Middle,Divorced,63033,0,0,0,82,194,61,480,225,112,30,1102,3,4,8,15,2,0,0,0,0,0,0,0,1,0
13,8180,2013-11-15,1952,61,Old,Master,Middle,Divorced,59354,1,1,2,53,233,2,53,3,5,14,310,6,1,5,12,6,0,0,0,0,0,0,0,3,0
14,2569,2012-10-10,1987,25,Adult,Graduation,Lower,Married,17323,0,0,0,38,3,14,17,6,1,5,46,1,0,3,4,8,0,0,0,0,0,0,0,1,0
15,2114,2012-11-24,1946,66,Old,PhD,Upper,Single,82800,0,0,0,23,1006,22,115,59,68,45,1315,7,6,12,25,3,1,0,0,0,1,1,3,1,0
16,9736,2012-12-24,1980,32,Adult,Graduation,Middle,Married,41850,1,1,2,51,53,5,19,2,13,4,96,3,0,3,6,8,0,0,0,0,0,0,0,3,0
17,4939,2012-08-31,1946,66,Old,Graduation,Middle,Together,37760,0,0,0,20,84,5,38,150,12,28,317,4,1,6,11,7,0,0,0,0,0,0,0,2,0
18,6565,2013-03-28,1949,64,Old,Master,Upper,Married,76995,0,1,1,91,1012,80,498,0,16,176,1782,11,4,9,24,5,1,0,0,0,0,0,1,2,0
19,2278,2012-11-03,1985,27,Adult,2n Cycle,Lower,Single,33812,1,0,1,86,4,17,19,30,24,39,133,2,1,3,6,6,0,0,0,0,0,0,0,2,0
20,9360,2012-08-08,1982,30,Adult,Graduation,Middle,Married,37040,0,0,0,41,86,2,73,69,38,48,316,4,2,5,11,8,0,0,0,0,0,0,0,1,0
21,5376,2013-01-06,1979,34,Adult,Graduation,Lower,Married,2447,1,0,1,42,1,1,1725,1,1,1,1730,0,28,0,28,1,0,0,0,0,0,0,0,15,0
22,1993,2012-12-23,1949,63,Old,PhD,Middle,Married,58607,0,1,1,63,867,0,86,0,0,19,972,2,3,9,14,8,0,0,0,1,0,0,1,3,0
23,4047,2014-01-11,1954,60,Adult,PhD,Middle,Married,65324,0,1,1,0,384,0,102,21,32,5,544,6,2,9,17,4,0,0,0,0,0,0,0,3,0
24,1409,2013-03-18,1951,62,Old,Graduation,Middle,Together,40689,0,1,1,69,270,3,27,39,6,99,444,7,1,5,13,8,0,0,0,0,0,0,0,7,0
25,7892,2013-01-02,1969,44,Adult,Graduation,Lower,Single,18589,0,0,0,89,6,4,25,15,12,13,75,2,1,3,6,7,0,0,0,0,0,0,0,2,0
26,2404,2013-05-27,1976,37,Adult,Graduation,Middle,Married,53359,1,1,2,4,173,4,30,3,6,41,257,5,1,4,10,7,0,0,0,0,0,0,0,4,0
27,5255,2013-02-20,1986,27,Adult,Graduation,Middle,Single,51373,1,0,1,19,5,1,3,3,263,362,637,27,0,0,27,1,0,0,0,0,0,0,0,0,0
28,9422,2013-05-31,1989,24,Adult,Graduation,Middle,Married,38360,1,0,1,26,36,2,42,20,21,10,131,2,1,4,7,3,0,0,0,0,0,0,0,2,0
29,1966,2013-11-22,1965,48,Adult,PhD,Upper,Married,84618,0,0,0,96,684,100,801,21,66,0,1672,6,9,10,25,2,0,0,0,0,1,0,1,1,0
30,6864,2014-05-22,1989,25,Adult,Master,Lower,Divorced,10979,0,0,0,34,8,4,10,2,2,4,30,3,0,3,6,5,0,0,0,0,0,0,0,2,0
31,3033,2013-05-11,1963,50,Adult,Master,Middle,Together,38620,0,0,0,56,112,17,44,34,22,89,318,2,5,3,10,3,0,0,0,0,0,0,0,1,0
32,5710,2012-10-10,1970,42,Adult,Graduation,Middle,Together,40548,0,1,1,31,110,0,5,2,0,3,120,2,1,4,7,5,0,0,0,1,0,0,1,2,0
